id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat
0,カフェ コロラド 浦和店,埼玉県,さいたま市,浦和区高砂２‐２‐２２,浦和駅徒歩4分以上,048-831-0781,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000273/,TRUE,FALSE,FALSE,FALSE,35.8572825,139.6538677
1,カフェ コロラド 越谷店,埼玉県,越谷市,弥生町２‐１２,越谷駅徒歩2分以上,048-963-5037,"平日:09:00 - 18:00
土曜日:09:00 - 18:00
日祝:09:00 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/07010026/,TRUE,FALSE,FALSE,FALSE,35.8872346,139.7876492
2,カフェ コロラド 塩釜店,宮城県,塩竈市,尾島町２‐１稲荷ビル,本塩釜駅徒歩5分以上,022-366-4035,"平日:09:00 - 18:00
土曜日:09:00 - 18:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000243/,TRUE,FALSE,FALSE,FALSE,38.3168824,141.0247335
3,カフェ コロラド 横浜西前店,神奈川県,横浜市,西区中央２‐２４エクセル中央１Ｆ,戸部駅徒歩7分以上,045-321-7223,"平日:09:00 - 17:00
土曜日:09:00 - 17:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000371/,TRUE,FALSE,FALSE,FALSE,35.4525985,139.6164525
4,カフェ コロラド 横浜大口駅前店,神奈川県,横浜市,神奈川区大口通１３７‐４,大口駅徒歩1分以上,045-432-9159,"平日:07:30 - 22:00
土曜日:07:30 - 20:00
日祝:07:30 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000054/,TRUE,FALSE,FALSE,FALSE,35.4912581,139.6453849
5,カフェ コロラド 下丸子店,東京都,大田区,下丸子３‐６‐７東家ビル２Ｆ,下丸子駅徒歩3分以内,03-3758-4488,"平日:07:00 - 20:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000257/,TRUE,FALSE,FALSE,FALSE,35.5710443,139.6859541
6,カフェ コロラド 下高井戸駅前店,東京都,世田谷区,松原３‐２９‐１９鈴木ビル２Ｆ,下高井戸駅徒歩2分以上,03-5376-6984,"平日:08:00 - 22:45
土曜日:08:00 - 22:45
日祝:08:00 - 22:45",http://sasp.mapion.co.jp/b/doutor/info/07000135/,TRUE,FALSE,FALSE,FALSE,35.66633,139.641408
7,カフェ コロラド 下総中山店,千葉県,市川市,鬼高２‐１０‐９柳沢ビル,下総中山駅徒歩2分以上,047-332-7749,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000217/,TRUE,FALSE,FALSE,FALSE,35.7141374,139.9409953
8,カフェ コロラド 菊名店,神奈川県,横浜市,港北区篠原北２‐１‐１５,菊名駅徒歩1分以上,045-434-3671,"平日:08:00 - 22:00
土曜日:08:00 - 21:30
日祝:09:00 - 21:30",http://sasp.mapion.co.jp/b/doutor/info/07000174/,TRUE,FALSE,FALSE,FALSE,35.5099447,139.6304221
9,カフェ コロラド 駒場東大前店,東京都,目黒区,駒場３‐１１‐１２,駒場東大前駅徒歩2分以上,03-3469-0531,"平日:09:00 - 19:00
土曜日:11:00 - 19:00
日祝:11:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000029/,TRUE,FALSE,FALSE,FALSE,35.6593992,139.6817555
10,カフェ コロラド 古河駅前店,茨城県,古河市,本町１‐２‐１コモディイイダ古河駅前店１Ｆ,古河駅徒歩3分以内,0280-31-6333,"平日:10:00 - 21:00
土曜日:10:00 - 20:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000339/,TRUE,FALSE,FALSE,FALSE,36.1949075,139.7087223
11,カフェ コロラド 戸越銀座通り店,東京都,品川区,平塚２‐１５‐１４モリビル,戸越銀座駅徒歩1分以上,03-3788-8705,"平日:07:30 - 21:30
土曜日:07:30 - 21:30
日祝:07:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000351/,TRUE,FALSE,FALSE,FALSE,35.6159544,139.7136162
12,カフェ コロラド 行田市店,埼玉県,行田市,忍１‐２１‐３,行田市駅徒歩4分以上,048-553-3721,"平日:09:00 - 20:00
土曜日:09:00 - 20:00
日祝:09:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000272/,TRUE,FALSE,FALSE,FALSE,36.1436676,139.4551621
13,カフェ コロラド 高崎大沢町店,群馬県,高崎市,大沢町上萩原１９６‐１,新前橋駅徒歩42分以上,027-353-1026,"平日:09:00 - 19:00
土曜日:09:00 - 19:00
日祝:09:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000244/,TRUE,FALSE,FALSE,FALSE,36.3555719,139.0625209
14,カフェ コロラド 国分寺店,東京都,国分寺市,南町３‐１５‐９,国分寺駅徒歩4分以上,042-325-3871,"平日:09:30 - 19:30
土曜日:10:00 - 20:00
日祝:10:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07010021/,TRUE,FALSE,FALSE,FALSE,35.6988505,139.4802573
15,カフェ コロラド 三ノ輪店,東京都,荒川区,南千住１‐１３‐２１,三ノ輪橋駅徒歩3分以内,03-3805-0197,"平日:07:30 - 19:00
土曜日:07:30 - 19:00
日祝:07:30 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000337/,TRUE,FALSE,FALSE,FALSE,35.7321585,139.7907992
16,カフェ コロラド 三軒茶屋店,東京都,世田谷区,太子堂４‐２２‐７森住ビル１Ｆ,三軒茶屋駅徒歩3分以内,03-3414-3540,"平日:07:30 - 22:30
土曜日:07:30 - 22:30
日祝:07:30 - 22:30",http://sasp.mapion.co.jp/b/doutor/info/07000324/,TRUE,FALSE,FALSE,FALSE,35.6442494,139.669943
17,カフェ コロラド 四日市店,三重県,四日市,市鵜の森１‐４‐１６,近鉄四日市駅徒歩5分以上,0593-52-7940,"平日:08:00 - 21:30
土曜日:08:00 - 21:30
日祝:08:00 - 21:30",http://sasp.mapion.co.jp/b/doutor/info/07000277/,TRUE,FALSE,FALSE,FALSE,34.9665146,136.6145523
18,カフェ コロラド 市川宮久保店,千葉県,市川市,宮久保１‐１３‐３,本八幡駅徒歩20分以上,047-372-9897,"平日:09:00 - 22:00
土曜日:-日祝:09
日祝:09:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/07000052/,TRUE,FALSE,FALSE,FALSE,35.7365062,139.9319511
19,カフェ コロラド 小岩南口店,東京都,江戸川区,南小岩６‐２７‐１２,小岩駅徒歩5分以上,03-3672-7265,"平日:08:00 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/07000092/,TRUE,FALSE,FALSE,FALSE,35.7298044,139.8813354
20,カフェ コロラド 小山駅前店,栃木県,小山市,中央町３‐６‐１７,小山駅徒歩4分以上,0285-23-2287,"平日:08:00 - 20:00
土曜日:08:00 - 20:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000068/,TRUE,FALSE,FALSE,FALSE,36.3131525,139.8051055
21,カフェ コロラド 松陰神社店,東京都,世田谷区,若林３‐１７‐１,松陰神社前駅徒歩2分以上,03-3410-8923,"平日:08:00 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/07000353/,TRUE,FALSE,FALSE,FALSE,35.6424115,139.6550778
22,カフェ コロラド 松原団地駅前店,埼玉県,草加市,松原１‐１‐９ハーモネスプラザ,松原団地駅徒歩2分以上,048-943-1696,"平日:08:00 - 20:00
土曜日:08:00 - 20:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000367/,TRUE,FALSE,FALSE,FALSE,35.842194,139.799662
23,カフェ コロラド 松戸五香店,千葉県,松戸市,常盤平５‐２０‐１１和幸ビル,五香駅徒歩2分以上,047-387-5310,"平日:09:00 - 21:00
土曜日:09:00 - 21:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000009/,TRUE,FALSE,FALSE,FALSE,35.7963421,139.9643899
24,カフェ コロラド 鐘ヶ淵店,東京都,墨田区,墨田５‐４３‐９,鐘ヶ淵駅徒歩1分以上,03-3610-3643,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000226/,TRUE,FALSE,FALSE,FALSE,35.7338063,139.8194362
25,カフェ コロラド 西大島店,東京都,江東区,大島１‐３０‐９,西大島駅徒歩3分以内,03-3637-4264,"平日:08:30 - 19:00
土曜日:08:30 - 19:00
日祝:08:30 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000205/,TRUE,FALSE,FALSE,FALSE,35.6891656,139.826131
26,カフェ コロラド 雪ヶ谷大塚店,東京都,大田区,南雪谷２‐３‐７,雪が谷大塚駅徒歩3分以内,03-3729-5150,"平日:09:00 - 22:00
土曜日:09:00 - 22:00
日祝:09:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/07000097/,TRUE,FALSE,FALSE,FALSE,35.5917799,139.6820387
