id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard
0,エクセルシオール カフェ アスティ岐阜店,岐阜県,岐阜市,橋本町１-１０ＪＲ岐阜駅構内アスティ岐阜２Ｆ,岐阜駅徒歩1分以上,058-262-3064,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000247/,TRUE,TRUE,TRUE,FALSE
1,エクセルシオール カフェ アルカキット錦糸町店,東京都,墨田区,錦糸２-２-１アルカキット錦糸町１Ｆ,錦糸町駅徒歩2分以上,03-5610-7235,"平日:07:00 - 23:00
土曜日:07:00 - 23:00
日祝:07:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000069/,TRUE,TRUE,TRUE,FALSE
2,エクセルシオール カフェ イトーヨーカドーららぽーと横浜店,神奈川県,横浜市,都筑区池辺町４０３５‐１イトーヨーカドーららぽーと横浜２Ｆ,鴨居駅徒歩11分以上,045-938-7065,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000225/,FALSE,FALSE,FALSE,FALSE
3,エクセルシオール カフェ イトーヨーカドー大宮宮原店,埼玉県,さいたま市,北区宮原町１‐８５４‐１イトーヨーカドー大宮宮原店２Ｆ,加茂宮駅徒歩8分以上,048-654-2150,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000209/,TRUE,FALSE,TRUE,FALSE
4,エクセルシオール カフェ ウィング久里浜店,神奈川県,横須賀市,久里浜４‐４‐１０ウィング久里浜２Ｆ,京急久里浜駅徒歩3分以内,046-876-5581,"平日:06:30 - 22:00
土曜日:06:30 - 22:00
日祝:06:30 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000232/,TRUE,FALSE,FALSE,FALSE
5,エクセルシオール カフェ ウィング新橋店,東京都,港区,新橋２丁目ウィング新橋東口地下街１号,新橋駅徒歩2分以上,03-3574-7241,"平日:07:00 - 23:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000223/,TRUE,FALSE,FALSE,FALSE
6,エクセルシオール カフェ お茶の水店,東京都,千代田区,神田駿河台２‐１ユニオンビル１Ｆ,御茶ノ水駅徒歩5分以上,03-5283-9599,"平日:06:45 - 22:30
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000030/,TRUE,TRUE,TRUE,FALSE
7,エクセルシオール カフェ さいたま新都心ランド・アクシス・タワー店,埼玉県,さいたま市,中央区新都心１１‐２ランド・アクシス・タワー２Ｆ,さいたま新都心駅徒歩1分以上,048-600-3686,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000074/,TRUE,FALSE,TRUE,FALSE
8,エクセルシオール カフェ シーフォートスクエア店,東京都,品川区,東品川２‐３‐１０シーフォートスクエア１Ｆ,天王洲アイル駅徒歩1分以上,03-5463-7044,"平日:07:00 - 22:30
土曜日:08:00 - 22:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000003/,TRUE,FALSE,FALSE,FALSE
9,エクセルシオール カフェ デュオこうべ店,兵庫県,神戸市,中央区東川崎町１‐２‐３デュオこうべ内,ハーバーランド駅徒歩1分以上,078-351-2932,"平日:07:00 - 21:00
土曜日:07:30 - 21:30
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000028/,TRUE,TRUE,TRUE,FALSE
10,エクセルシオール カフェ バリスタ Ｔｈｉｎｋ Ｐａｒｋ店,東京都,品川区,大崎２‐１‐１ＴｈｉｎｋＰａｒｋＴｏｗｅｒ２Ｆ,大崎駅徒歩2分以上,03-3779-1132,"平日:07:00 - 23:00
土曜日:08:00 - 23:00
日祝:08:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000207/,TRUE,TRUE,TRUE,FALSE
11,エクセルシオール カフェ バリスタ イオンモール幕張新都心店,千葉県,千葉市,美浜区豊砂１-１グランドモール２Ｆ,海浜幕張駅徒歩15分以上,043-211-1511,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000258/,TRUE,TRUE,TRUE,FALSE
12,エクセルシオール カフェ バリスタ コクーンシティさいたま新都心店,埼玉県,さいたま市,大宮区吉敷町４-２６７-２コクーン１２Ｆ,さいたま新都心駅徒歩4分以上,048-601-0488,"平日:09:30 - 23:00
土曜日:09:30 - 23:00
日祝:09:30 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000141/,TRUE,TRUE,FALSE,FALSE
13,エクセルシオール カフェ バリスタ センター南サウスウッド店,神奈川県,横浜市,都筑区茅ケ崎中央６-１,センター南駅徒歩1分以上,045-945-7370,"平日:07:30 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000251/,TRUE,TRUE,TRUE,FALSE
14,エクセルシオール カフェ バリスタ ホテルサンルート川崎店,神奈川県,川崎市,川崎区砂子２‐１１‐１７ホテルサンルート川崎１Ｆ,京急川崎駅徒歩5分以上,044-211-0620,"平日:06:45 - 22:00
土曜日:06:45 - 22:00
日祝:06:45 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000173/,TRUE,TRUE,TRUE,FALSE
15,エクセルシオール カフェ バリスタ モリタウン昭島店,東京都,昭島市,田中町５６２‐１モリタウン東館１Ｆ,昭島駅徒歩2分以上,042-546-4885,"平日:09:00 - 21:00
土曜日:09:00 - 21:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000158/,TRUE,TRUE,TRUE,FALSE
16,エクセルシオール カフェ バリスタ 吉祥寺南口駅前店,東京都,武蔵野市,吉祥寺南町１-４-１井の頭ビル１Ｆ,吉祥寺駅徒歩1分以上,0422-44-8390,"平日:07:00 - 22:30
土曜日:07:00 - 22:30
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000249/,TRUE,TRUE,TRUE,FALSE
17,エクセルシオール カフェ バリスタ 京急ＥＸイン東銀座店,東京都,中央区,築地２-１５-１５,築地駅徒歩3分以内,03-3547-6055,"平日:06:45 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000253/,TRUE,TRUE,FALSE,FALSE
18,エクセルシオール カフェ バリスタ 京橋一丁目店,東京都,中央区,京橋１-３-５三井ガーデンホテル１Ｆ,京橋駅徒歩2分以上,03-3241-6913,"平日:06:45 - 22:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/05000254/,TRUE,TRUE,TRUE,FALSE
19,エクセルシオール カフェ バリスタ 銀座中央通り店,東京都,中央区,銀座７‐８‐７ＧＩＮＺＡＧＲＥＥＮ１Ｆ・２Ｆ,銀座駅徒歩3分以内,03-5537-0558,"平日:08:00 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000127/,TRUE,TRUE,TRUE,FALSE
20,エクセルシオール カフェ バリスタ 恵比寿ガーデンプレイス店,東京都,渋谷区,恵比寿４‐２０‐３恵比寿ガーデンプレイスオフィスタワー１Ｆ,恵比寿駅徒歩9分以上,03-5448-9446,"平日:07:00 - 22:30
土曜日:07:30 - 22:30
日祝:07:30 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000009/,TRUE,TRUE,TRUE,FALSE
21,エクセルシオール カフェ バリスタ 虎ノ門店,東京都,港区,虎ノ門１‐１‐２８ＴＯＴＯ虎ノ門ビル１Ｆ,虎ノ門駅徒歩3分以内,03-3519-5980,"平日:06:45 - 22:30
土曜日:08:00 - 21:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/05000105/,TRUE,TRUE,TRUE,FALSE
