id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard
0,ドトールコーヒーショップ 神田西口店,東京都,千代田区,内神田１‐１７小堀ビル１Ｆ,淡路町駅徒歩5分以上,03-3233-2640,"平日:07:15 - 19:30
土曜日:08:00 - 13:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/01010009/,TRUE,FALSE,FALSE,TRUE
1,ドトールコーヒーショップ 南青山店,東京都,港区,南青山５‐９‐２０,表参道駅徒歩3分以上,03-3498-7926,"平日:06:45 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 20:30",http://sasp.mapion.co.jp/b/doutor/info/01010010/,TRUE,TRUE,TRUE,TRUE
2,ドトールコーヒーショップ 西新宿１丁目店,東京都,新宿区,西新宿１‐１３‐８朝日新宿ビル,都庁前駅徒歩5分以上,03-3345-9668,"平日:06:30 - 22:00
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/01010030/,TRUE,TRUE,TRUE,TRUE
3,ドトールコーヒーショップ 渋谷１丁目店,東京都,渋谷区,渋谷１‐１４‐１５,渋谷駅徒歩4分以上,03-3407-7745,"平日:07:00 - 22:00
土曜日:07:30 - 22:00
日祝:07:30 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/01010035/,TRUE,FALSE,TRUE,TRUE
4,ドトールコーヒーショップ 神保町２丁目店,東京都,新宿区,西新宿１‐１３‐８朝日新宿ビル,都庁前駅徒歩5分以上,03-3264-0320,"平日:07:30 - 20:00
土曜日:09:00 - 18:00
日祝:10:00 - 18:00備考:日曜は休業祝日は上記時間で営業",http://sasp.mapion.co.jp/b/doutor/info/01010045/,TRUE,FALSE,FALSE,TRUE
5,ドトールコーヒーショップ 関内大通り店,神奈川県,横浜市,中区南仲通３‐３７千野ビル,馬車道駅徒歩3分以上,045-212-2579,"平日:06:45 - 20:30
土曜日:07:30 - 19:00
日祝:09:30 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/01010056/,TRUE,FALSE,FALSE,TRUE
6,ドトールコーヒーショップ 東陽町店,東京都,江東区,東陽４-５-１８メトロハイツ東陽,東陽町駅徒歩2分以上,03-3645-4911,"平日:06:30 - 21:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/01010064/,TRUE,FALSE,TRUE,TRUE
7,ドトールコーヒーショップ 水道橋東口店,東京都,千代田区,神田三崎町２‐１‐１６プラージュビル１Ｆ,水道橋駅徒歩4分以上,03-3264-3963,"平日:07:00 - 20:00
土曜日:07:20 - 19:00
日祝:07:20 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/01010067/,TRUE,FALSE,TRUE,TRUE
8,ドトールコーヒーショップ 新宿南口店,東京都,渋谷区,代々木２‐１０‐１新宿サンセイビル１Ｆ,南新宿駅徒歩7分以上,03-3370-1457,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/01010074/,TRUE,FALSE,TRUE,TRUE
9,ドトールコーヒーショップ 八丁堀店,東京都,中央区,八丁堀２-２６-１５,八丁堀駅徒歩1分以上,03-3553-2375,"平日:07:00 - 19:30
土曜日:07:30 - 16:00
日祝:09:00 - 16:00",http://sasp.mapion.co.jp/b/doutor/info/01010075/,TRUE,FALSE,TRUE,TRUE
