id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon
0,Cafe Miyama 高田馬場駅前店,東京都,新宿区,高田馬場2-17-4菊月ビルB1F,JR高田馬場駅東口徒歩1分,03-5292-5772,"平日 ：7：30-23：00
土曜日：8：00-23：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/74,TRUE,TRUE,TRUE,TRUE,35.713488,139.705418
1,Cafe Miyama 渋谷センター街店,東京都,渋谷区,宇田川町25-3プリンスビル2F,JR渋谷駅ハチ公口徒歩１分センター街中程,03-3463-0452,全日：8：00-23：30,https://www.ginza-renoir.co.jp/shopsearch/shops/view/17,TRUE,TRUE,TRUE,FALSE,35.6603353,139.6991746
2,Cafe Miyama 渋谷公園通り店,東京都,渋谷区,宇田川町19-5東京山手教会B1F,JR渋谷駅ハチ公口徒歩3分公園通り中程,03-3770-2081,"平日 ：8：00-23：00
金曜日：8：00-23：30
土曜日：9：00-23：30
日祝日：9：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/93,TRUE,TRUE,TRUE,FALSE,35.6617,139.699566
3,Cafe Miyama 渋谷東口駅前店,東京都,渋谷区,渋谷3-19-1オミビルB1F,"JR渋谷駅東口より徒歩4分、地下鉄渋谷駅16b出口より徒歩2分
 
 明治通りを挟み渋谷警察署向かい角オミビルB1F",03-3498-1324,"平日 ：7：30-23：00
土曜日：7：30-23：00
日祝日：9：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/47,TRUE,TRUE,TRUE,FALSE,35.657699,139.702697
4,Cafe Miyama 新宿南口駅前店,東京都,渋谷区,代々木2-8-5新宿南口ビルB1F,JR新宿南口徒歩3分ルミネ1角から甲州街道渡り地下１階,03-3379-5676,"平日 ：7：30-23：30
土曜日：8：00-23：30
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/82,TRUE,TRUE,TRUE,FALSE,35.688437,139.699239
5,Cafe Miyama 中野ブロードウェイ店,東京都,中野区,中野5-52-15-153中野ブロードウェイ1F,JR中野駅北口徒歩3分ブロードウェイ入口左手,03-3385-7366,"平日 ：7：30-22：00
土曜日：8：00-22：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/84,TRUE,TRUE,TRUE,FALSE,35.708759,139.665567
6,Cafe Miyama 目黒東口駅前店,東京都,品川区,上大崎2-12-1野田ビル1F,JR目黒駅東口徒歩１分ドコモショップ斜め前,03-3446-5284,"平日 ：7：30-23：00
土曜日：7：30-23：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/33,TRUE,TRUE,TRUE,FALSE,35.6349255,139.7163693
7,Cafeルノアール ニュー八重洲北口店,東京都,中央区,八重洲1-7-4矢満登ビル1F,東京駅八重洲北口から外堀通りを渡り、八重洲北口通りに入り日興コーディアル証券の並び,03-3274-7788,"平日 ：7：30-23：00
金曜日：7：30-23：30
土曜日：8：00-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/89,TRUE,TRUE,TRUE,FALSE,35.6809903,139.7703596
8,Cafeルノアール 御徒町春日通り店,東京都,台東区,上野6-1-1小西本店ビル2F,JR御徒町駅北口昭和通り方向徒歩1分昭和通り左手前角2階,03-5818-7280,"平日 ：7：30-23：00
土曜日：7：30-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/9,TRUE,TRUE,TRUE,FALSE,35.7078623,139.7759711
9,Cafeルノアール 秋葉原昭和通り口店,東京都,千代田区,神田佐久間町1-18信交ビル2F,JR秋葉原駅昭和通り口徒歩0分,03-5289-7270,"平日 ：7：30-23：00
土曜日：7：30-23：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/117,TRUE,TRUE,TRUE,FALSE,35.6978619,139.7747329
10,Cafeルノアール 上野公園前店,東京都,台東区,上野2-13-13キクヤビルB1F,JR上野駅徒歩2分不忍通り入口交差点右角地下1階,03-3831-3603,"平日 ：8：00-23：00
土曜日：8：00-23：00
日祝日：9：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/61,TRUE,TRUE,TRUE,FALSE,35.70998,139.773188
11,Cafeルノアール 新宿京王モール店,東京都,新宿区,西新宿1-南口地下街1京王モール第A-5区画,"JR新宿駅西口地下広場を左に抜けて京王モール内すぐ
 
 京王線・京王新線新宿駅から、徒歩０分",03-3348-7333,"月-木：7：00-23：00
金曜日：7：00-23：30
土曜日：7：00-23：30
日祝日：7：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/53,TRUE,TRUE,FALSE,FALSE,35.689658,139.698676
12,Cafeルノアール 日本橋三越前店,東京都,中央区,日本橋本町1-1立石ビル1F,地下鉄銀座線三越前駅A1出口駿河銀行横入る徒歩2分,03-3278-0288,"平日 ：7：30-20：00
土曜日：7：30-19：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/28,TRUE,TRUE,TRUE,FALSE,35.685293,139.776123
